TR:medium_TE:CellLine,TR:EGR1,TR:SRPRA,TR:PLCG1,TR:PITX2,TR:MYCBP,TR:SMAD3,TR:SMAD4,TR:E2F1,TR:CREM,TR:FHL2,DA:CEBPB,DA:GSR,DA:HEY1,DA:HESX1,DA:HEY2,DA:PSAT1,DA:PKM,DA:NKX3-1,DA:ZEB1,DA:DEC1,DA:CEBPD,DA:ETV5,DA:DDIT3,DA:SOD1,DV:CEBPB,DV:GSR,DV:HEY1,DV:HESX1,DV:HEY2,DV:PSAT1,DV:PKM,DV:NKX3-1,DV:ZEB1,DV:DEC1,DV:CEBPD,DV:ETV5,DV:DDIT3,DV:SOD1
1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0,1,0,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.5156984115146543,0.0,0.0,0.5447087776866284,0.7577746289805354,0.837571780147662,0.0,0.0,0.0,0.0,0.0,0.1345365053322395,0.8138563651278992
1,0,1,1,1,1,0,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.369378775449325,0.0,0.0,0.0,0.1576553061376687,0.5582071742859274,0.8976806622417779,0.0,0.0,0.0,0.0,0.4156163770601834,0.534864643150123,0.8157207845476918
1,1,1,1,0,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.5118204191214856,0.0,0.0,0.0,0.7486016854351555,0.8275039152807815,0.1727198150495935,0.0,0.0,0.0,0.5154001044074874,0.0,0.7770900141695876
1,0,1,1,0,1,0,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4913863822805578,0.5500037288388395,0.0,0.0,0.0,0.0,0.8052800357968528,0.1292415541800283,0.2233574464911626,0.0,0.5729733760906853,0.2508762771273025,0.5421731672757103,0.8365277052725781
1,0,1,1,0,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.1510179730032068,0.2649712879409351,0.0,0.0,0.0,0.7117607577000522,0.8692669102841375,0.0,0.0,0.0,0.0,0.0,0.4070400477291371,0.8009545827429339
1,1,1,0,0,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.4977999850846446,0.9272876426280856,0.0,0.0,0.0,0.0,0.0,0.0,0.8008800059661422
1,0,1,0,0,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.3947348795585054,0.0,0.4012976359161757,0.0,0.8019986576180177,0.8395107763442463,0.0,0.0,0.0,0.0,0.0,0.0,0.8252666119770303
1,1,1,0,1,1,0,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.4008501752554254,0.0,0.0,0.0,0.8586024312029233,0.8708330225967633,0.0,0.0,0.0,0.3858602431202923,0.0,0.0,0.8847788798568126
1,1,1,0,0,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.4494742337236184,0.0,0.0,0.0,0.3439480945633529,0.812364829592065,0.0865090610783801,0.0,0.0,0.2120217764188231,0.0,0.0,0.7602356626146618
1,1,1,1,1,1,0,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.5895294205384444,0.8303378327988664,0.0,0.0,0.0,0.0,0.0,0.0,0.770601834588709
1,0,1,1,0,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.5253188157207845,0.0,0.0,0.0,0.8195242001640689,0.9002162726526959,0.0,0.0,0.0,0.2356626146617943,0.0,0.0,0.8161682452084421
1,1,1,1,0,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0771869639794168,0.0,0.0,0.0,0.8114699082705645,0.8818703855619359,0.3745245730479529,0.0,0.0,0.2410321425907972,0.0,0.4438063986874487,0.8591990454172571
1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5046610485494817,0.2329032739205011,0.3010664479081213,0.0,0.0,0.734954135282273,0.9110299052874934,0.4576776791707062,0.0,0.0,0.3010664479081213,0.3010664479081213,0.0,0.7976732045640986
1,1,1,0,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.5187560593631143,0.0,0.0,0.0,0.6724587963308225,0.8953687821612349,0.3912297710492952,0.0,0.0,0.0,0.0,0.4643895890819599,0.8107241405026475
1,1,1,1,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.2637780595122678,0.0,0.0,0.0,0.6101126109329554,0.8373480498172868,0.0,0.0,0.0,0.0,0.0,0.1444552166455365,0.859721082854799
1,1,1,1,1,1,0,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.372436423297785,0.0,0.0,0.0,0.801402043403684,0.9228876127973747,0.0,0.0,0.0,0.0,0.0,0.0,0.8458498023715415
1,0,1,1,1,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.7694831829368334,0.8810500410172272,0.0,0.0,0.0,0.1193228428667313,0.0,0.2107539712133641,0.8143038257886495
1,1,1,1,1,1,1,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.3319412334998881,0.430979193079275,0.0,0.3822805578342904,0.0,0.7266761130583935,0.8791110448206428,0.0,0.0,0.0,0.4908643448430158,0.3995823700499664,0.4668506227160862,0.882094115892311
1,1,1,0,1,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4838541278245954,0.0,0.0,0.0,0.0,0.2681780893429786,0.8721008278022224,0.0,0.0,0.0,0.0,0.0,0.0,0.883660228204937
1,1,1,1,1,1,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.1194719964203147,0.0755462748899992,0.0,0.0,0.0,0.762472965918413,0.9314639421284212,0.5247967782832426,0.0,0.0,0.0,0.0,0.0,0.9099858304124095
