Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,JAK3,HDAC1,LEF1,DAND5,MYB,FOS,JUND,TERT,RB1,SIN3A,FOXM1,SKI,TAF12,TLE1,PCBP4,TRIM28,JAK2,HDAC9,EP300,MTSS1,HDAC7,CREB1,SPTLC3,C21orf33,TCF3,MYC,YY1,SMARCA2,E2F6,E2F4,IRF1,ARNT,SEMA4A,AKT1,KDM1A,CREM,TWIST1,MYCBP,PITX2,TRRAP,PLCG1,HDAC2,JUN,SNAI1,RBPJ,FOXA2,PTGDR2,NCOR1,EGFR,SRPRA,EPAS1,STK11,FOXA1,ENO1,TAF10,EGR1,SMAD3,EGF,TCF4,SRF,JAK1,WT1,NFX1,E2F1,PARP1,HIF1A,RBL1,ERAL1,MAX,LCK,KAT2A,RELA,IL23R,AES,CALM3,TRBV20OR9-2,SUPT7L,GLI1,CD8A,SMAD4,TNIK,ELK1,SIRT1,TYK2,HNF1A,DVL3,SMARCA4,CEBPA,ATF1,RNF128,VEGFA,EOMES,HEY1,TBX21,GATA3,ZEB1,ATF3,FGF4,HEY2,TGFB1,PDGFRA,CD4,MYL1,SULT2A1
E6.11.1070,E6.11,late_TE,53.42734661,Petropoulos2016,6.0,B,K08,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0.016929547844374344,0.09295478443743428,0.0,0.0,0.0,0.11472134595162986,0.0,0.029127234490010517,0.0,0.0,0.008517350157728707,0.0,0.0,0.0,0.201472134595163
E6.12.1271,E6.12,late_TE,52.9804904,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0018927444794952682,0.0,0.0,0.0,0.0277602523659306,0.0,0.0014721345951629863,0.0,0.0,0.0,0.00010515247108307045,0.0,0.0,0.0
E6.12.1277,E6.12,late_TE,52.97818168,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.02071503680336488,0.0,0.0,0.0,0.1377497371188223,0.0,0.010725552050473186,0.0005257623554153522,0.0,0.0008412197686645636,0.0015772870662460567,0.0,0.0,0.0
E6.12.1278,E6.12,late_TE,50.62373062,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0018927444794952682,0.0,0.0,0.0,0.019873817034700314,0.0,0.0008412197686645636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6.12.1280,E6.12,late_TE,53.56004083,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0035751840168243955,0.0,0.0,0.0,0.01619348054679285,0.0,0.0009463722397476341,0.0,0.0,0.00010515247108307045,0.0008412197686645636,0.0,0.0,0.0
E6.12.1482,E6.12,late_TE,38.94936065,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.015036803364879074,0.0,0.0,0.0,0.14090431125131442,0.0,0.007465825446898002,0.00010515247108307045,0.0002103049421661409,0.0006309148264984228,0.005257623554153523,0.0,0.0,0.0
E6.12.1483,E6.12,late_TE,52.98614989,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.006834910620399579,0.0,0.0,0.0,0.07465825446898001,0.0,0.008517350157728707,0.0,0.0,0.0003154574132492114,0.003259726603575184,0.0,0.0,0.0
E6.12.1484,E6.12,late_TE,53.26812193,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.019137749737118823,0.0,0.0,0.0,0.10115667718191378,0.0,0.007360672975814932,0.0010515247108307045,0.0,0.0002103049421661409,0.008201892744479496,0.0,0.0,0.0
E6.12.1486,E6.12,late_TE,50.19749073,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.01377497371188223,0.0,0.0,0.0,0.14847528916929548,0.0,0.00935856992639327,0.0,0.0,0.0,0.003995793901156677,0.0,0.0,0.0
E6.12.1487,E6.12,late_TE,50.59299054,Petropoulos2016,6.0,B,K08,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.006203995793901157,0.0,0.0,0.0,0.0971608832807571,0.0,0.003680336487907466,0.0026288117770767614,0.0,0.0,0.0008412197686645636,0.0,0.0,0.00010515247108307045
E6.13.1377,E6.13,late_TE,52.83499805,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.004311251314405889,0.0,0.0,0.0,0.053732912723449,0.0,0.004416403785488959,0.0,0.0,0.0,0.0008412197686645636,0.0,0.0,0.0
E6.13.1379,E6.13,late_TE,52.71971056,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.03659305993690852,0.0,0.0019978969505783386,0.00010515247108307045,0.0,0.0,0.0007360672975814932,0.0,0.0,0.0
E6.13.1380,E6.13,late_TE,52.95090278,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0037854889589905363,0.0,0.0,0.0,0.060042060988433225,0.0,0.008832807570977918,0.0,0.0010515247108307045,0.00010515247108307045,0.0007360672975814932,0.0,0.0,0.0
E6.13.1383,E6.13,late_TE,52.87350731,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0004206098843322818,0.0,0.0,0.0,0.03175604626708728,0.0,0.0,0.0,0.0,0.0,0.0007360672975814932,0.0,0.0,0.0
E6.13.1384,E6.13,late_TE,53.67725008,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0017875920084121978,0.0,0.0002103049421661409,0.0,0.02996845425867508,0.0,0.0022082018927444794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6.13.1386,E6.13,late_TE,53.21824487,Petropoulos2016,6.0,B,K09,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.017455310199789693,0.0,0.004100946372239748,0.0,0.29379600420609886,0.0,0.03028391167192429,0.0,0.0,0.0,0.0016824395373291271,0.0,0.0,0.0009463722397476341
E6.13.1387,E6.13,late_TE,53.10893016,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.005152471083070452,0.0,0.0,0.0,0.1452155625657203,0.00010515247108307045,0.015141955835962145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6.13.1388,E6.13,late_TE,53.40481942,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.004100946372239748,0.0,0.004942166140904311,0.0,0.17592008412197688,0.0,0.00452155625657203,0.0009463722397476341,0.0010515247108307045,0.001156677181913775,0.0,0.0,0.0,0.0
E6.13.1390,E6.13,late_TE,52.73599246,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.031335436382754996,0.0,0.0014721345951629863,0.0,0.0,0.0,0.0004206098843322818,0.0,0.0,0.0
E6.13.1391,E6.13,late_TE,53.00227196,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.010830704521556257,0.0,0.0,0.0,0.15078864353312302,0.0,0.01177707676130389,0.00010515247108307045,0.0,0.0012618296529968455,0.0,0.0,0.0,0.002523659305993691
E6.13.1392,E6.13,late_TE,49.45035619,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0038906414300736067,0.0,0.0002103049421661409,0.0,0.03722397476340694,0.0,0.0014721345951629863,0.0,0.0,0.0,0.0002103049421661409,0.0,0.0,0.0
E6.13.1393,E6.13,late_TE,53.21027875,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.005362776025236593,0.0,0.00010515247108307045,0.0,0.06561514195583597,0.0,0.004942166140904311,0.0,0.0,0.0,0.0008412197686645636,0.0,0.0,0.00010515247108307045
E6.13.1394,E6.13,late_TE,52.78788084,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.013354363827549948,0.0,0.0,0.0,0.11976866456361725,0.0,0.008727655099894847,0.0,0.0,0.0,0.001366982124079916,0.0,0.0,0.0
E6.13.1395,E6.13,late_TE,52.82270848,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0017875920084121978,0.0,0.0,0.0,0.07623554153522608,0.0,0.0,0.0,0.0,0.0,0.0003154574132492114,0.0,0.0,0.0
E6.13.1396,E6.13,late_TE,51.03482733,Petropoulos2016,6.0,B,K09,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.002103049421661409,0.0,0.0,0.0,0.09137749737118822,0.0,0.0056782334384858045,0.0,0.0,0.0003154574132492114,0.0,0.0,0.0,0.0
E6.13.1397,E6.13,late_TE,53.31037589,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.009989484752891693,0.0,0.002103049421661409,0.0,0.10651945320715037,0.0,0.00231335436382755,0.0018927444794952682,0.00010515247108307045,0.0,0.005047318611987382,0.0,0.0,0.00452155625657203
E6.13.1398,E6.13,late_TE,53.2660784,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.0,0.0056782334384858045,0.0006309148264984228,0.0,0.0,0.09873817034700315,0.0,0.009884332281808622,0.0003154574132492114,0.0,0.0,0.0,0.0,0.0,0.0
E6.13.1399,E6.13,late_TE,53.41143622,Petropoulos2016,6.0,B,K09,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,0.007360672975814932,0.0,0.0,0.0,0.07444794952681388,0.0,0.017981072555205046,0.0,0.0,0.0003154574132492114,0.003259726603575184,0.0,0.0,0.00010515247108307045
