CD4<-IL23/IL23R/JAK2/TYK2,CD4<-!C21orf33,CD4<-!MYB,CD4<-!C21orf33+IL23/IL23R/JAK2/TYK2,CD4<-IL23/IL23R/JAK2/TYK2+!MYB,CD4<-!C21orf33+!MYB,ATF2/c-Jun<-JUN,TBX21<-IL12/IL12R/TYK2/JAK2,MYC/Max<-MYC,MYC/Max<-MAX,MYC/Max<-MAX+MYC,MYC<-!MYC/Max,MYC<-MYC/Max,MYC<-MYB,MYC<-!MYB,MYC<-!RBL1,MYC<-JUN/JUND,MYC<-E2F4/DP2/GCN5,MYC<-!E2F1/DP,MYC<-!NCOR1,MYC<-TERT,MYC<-!JUN/FOS,MYC<-JUN/FOS,MYC<-JUN,MYC<-MYB+!MYC/Max,MYC<-!MYB+!MYC/Max,MYC<-!MYC/Max+!RBL1,MYC<-JUN/JUND+!MYC/Max,MYC<-E2F4/DP2/GCN5+!MYC/Max,MYC<-!E2F1/DP+!MYC/Max,MYC<-!MYC/Max+!NCOR1,MYC<-!MYC/Max+TERT,MYC<-!JUN/FOS+!MYC/Max,MYC<-JUN/FOS+!MYC/Max,MYC<-JUN+!MYC/Max,MYC<-MYB+MYC/Max,MYC<-!MYB+MYC/Max,MYC<-MYC/Max+!RBL1,MYC<-JUN/JUND+MYC/Max,MYC<-E2F4/DP2/GCN5+MYC/Max,MYC<-!E2F1/DP+MYC/Max,MYC<-MYC/Max+!NCOR1,MYC<-MYC/Max+TERT,MYC<-!JUN/FOS+MYC/Max,MYC<-JUN/FOS+MYC/Max,MYC<-JUN+MYC/Max,MYC<-MYB+!RBL1,MYC<-JUN/JUND+MYB,MYC<-E2F4/DP2/GCN5+MYB,MYC<-!E2F1/DP+MYB,MYC<-MYB+!NCOR1,MYC<-MYB+TERT,MYC<-!JUN/FOS+MYB,MYC<-JUN/FOS+MYB,MYC<-JUN+MYB,MYC<-!MYB+!RBL1,MYC<-JUN/JUND+!MYB,MYC<-E2F4/DP2/GCN5+!MYB,MYC<-!E2F1/DP+!MYB,MYC<-!MYB+!NCOR1,MYC<-!MYB+TERT,MYC<-!JUN/FOS+!MYB,MYC<-JUN/FOS+!MYB,MYC<-JUN+!MYB,MYC<-JUN/JUND+!RBL1,MYC<-E2F4/DP2/GCN5+!RBL1,MYC<-!E2F1/DP+!RBL1,MYC<-!NCOR1+!RBL1,MYC<-!RBL1+TERT,MYC<-!JUN/FOS+!RBL1,MYC<-JUN/FOS+!RBL1,MYC<-JUN+!RBL1,MYC<-E2F4/DP2/GCN5+JUN/JUND,MYC<-!E2F1/DP+JUN/JUND,MYC<-JUN/JUND+!NCOR1,MYC<-JUN/JUND+TERT,MYC<-!JUN/FOS+JUN/JUND,MYC<-JUN/FOS+JUN/JUND,MYC<-JUN+JUN/JUND,MYC<-!E2F1/DP+E2F4/DP2/GCN5,MYC<-E2F4/DP2/GCN5+!NCOR1,MYC<-E2F4/DP2/GCN5+TERT,MYC<-E2F4/DP2/GCN5+!JUN/FOS,MYC<-E2F4/DP2/GCN5+JUN/FOS,MYC<-E2F4/DP2/GCN5+JUN,MYC<-!E2F1/DP+!NCOR1,MYC<-!E2F1/DP+TERT,MYC<-!E2F1/DP+!JUN/FOS,MYC<-!E2F1/DP+JUN/FOS,MYC<-!E2F1/DP+JUN,MYC<-!NCOR1+TERT,MYC<-!JUN/FOS+!NCOR1,MYC<-JUN/FOS+!NCOR1,MYC<-JUN+!NCOR1,MYC<-!JUN/FOS+TERT,MYC<-JUN/FOS+TERT,MYC<-JUN+TERT,MYC<-JUN+!JUN/FOS,MYC<-JUN+JUN/FOS,TGFB1<-JUN/FOS,EGR1<-!SNAI1,HEY2<-RBPJ,GATA3<-MYB,GATA3<-RBPJ,GATA3<-MYB+RBPJ,SNAI1<-EGR1,SNAI1<-MYC/Max,SNAI1<-EGR1+MYC/Max,RBL1<-!RBL1,RBL1<-E2F1/DP,RBL1<-!E2F1/DP,RBL1<-E2F1/DP+!RBL1,RBL1<-!E2F1/DP+!RBL1,JUN/FOS<-JUN,MYB<-MYB,MYB<-E2F1,MYB<-JUN/JUND,MYB<-E2F1+MYB,MYB<-JUN/JUND+MYB,MYB<-E2F1+JUN/JUND,LEF1<-LEF1/betacatenin/PITX2,EOMES<-!IL12/IL12R/TYK2/JAK2,LEF1/betacatenin/PITX2<-LEF1,IL23/IL23R/JAK2/TYK2<-JAK2,IL23/IL23R/JAK2/TYK2<-IL23R,IL23/IL23R/JAK2/TYK2<-IL23R+JAK2,FOXA2<-FOXA1,IL23R<-IL23/IL23R/JAK2/TYK2,SULT2A1<-E2F1/DP,TERT<-MYC,TERT<-!MYC,TERT<-!JUN,TERT<-!E2F1,TERT<-MAX,TERT<-!MAX,TERT<-KAT2A,TERT<-!JUN+MYC,TERT<-!E2F1+MYC,TERT<-MAX+MYC,TERT<-!MAX+MYC,TERT<-KAT2A+MYC,TERT<-!JUN+!MYC,TERT<-!E2F1+!MYC,TERT<-MAX+!MYC,TERT<-!MAX+!MYC,TERT<-KAT2A+!MYC,TERT<-!E2F1+!JUN,TERT<-!JUN+MAX,TERT<-!JUN+!MAX,TERT<-!JUN+KAT2A,TERT<-!E2F1+MAX,TERT<-!E2F1+!MAX,TERT<-!E2F1+KAT2A,TERT<-KAT2A+MAX,TERT<-KAT2A+!MAX,IL12/IL12R/TYK2/JAK2<-JAK2,E2F4/DP2/GCN5<-KAT2A,ATF3<-JUN,HEY1<-RBPJ,HEY1<-!RBPJ,MYL1<-!E2F1/DP,E2F1<-E2F1/DP,E2F1<-!E2F1/DP,E2F1<-E2F4/DP2/GCN5,E2F1<-!C21orf33,E2F1<-E2F1/DP+E2F4/DP2/GCN5,E2F1<-!C21orf33+E2F1/DP,E2F1<-!E2F1/DP+E2F4/DP2/GCN5,E2F1<-!C21orf33+!E2F1/DP,E2F1<-!C21orf33+E2F4/DP2/GCN5,VEGFA<-SEMA4A,E2F1/DP<-E2F1,JUN/JUND<-JUN,FOXA1<-FOXA2,FGF4<-LEF1,JUN<-ATF2/c-Jun,C21orf33<-!C21orf33,C21orf33<-JUN,C21orf33<-!RBPJ,C21orf33<-RBPJ,C21orf33<-!C21orf33+JUN,C21orf33<-!C21orf33+!RBPJ,C21orf33<-!C21orf33+RBPJ,C21orf33<-JUN+!RBPJ,C21orf33<-JUN+RBPJ,mse,size
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,3
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717318761399208,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00717318761399208,3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00717318761399208,4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00717318761399208,3
