Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,LEF1,PARP1,ZEB1,SNAI1,HEY1,HEY2,EGR1,MYC,ENO1,CEBPA,JAK1,FGF4,PITX2,ATF1,PDGFRA,RB1,FOXA1,FOXA2,GATA3,C21orf33,MYB,IRF1,TBX21,VEGFA,TWIST1,YAP1,DLX5,TCF3,MYL1,MYOD1,PAX3,WWP1,SULT2A1,E2F1,RBL1,SIRT1,RBPJ,KDM1A,SMAD3,SMAD4,TERT,MAX,MTSS1,GLI1,EP300,EPAS1,ARNT,HIF1A,HDAC7,SEMA4A,SRPRA,EGFR,ATF3,PCBP4,ELK1,FOS,PLCG1,MYCBP,FOXP3,LONP1,AKT1,DAND5,ERAL1,JUN,JUND,YY1,IL27RA,LCK,JAK3,DVL3,SMARCA2,E2F4,SMARCA4,STK11,PTGDR2,KAT2A,FOXM1,TNIK,TRRAP,PCBP4,HNF1A,TLE1,AES,RELA,SKI,SIN3A,NCOR1,E2F6,HDAC1,EGR2,MAPK9,RNF128,EGR3,TGFB1,TCF4,ELF1,WT1,JUNB,NFATC2,IL27,IL27RA,JAK2,TYK2,PPARG,IL2RA,HDAC2,SMAD3,IL23R,SUPT7L,SPTLC3,TAF10,TAF12,EGF,NFX1,HDAC9,SRF,CREM,CREB1,PTPRH,CD4,EOMES,NFATC1,CALM3,TRBV20OR9-2,IL18,CD28,CD8A,TRIM28
E6.11.1070,E6.11,late_TE,53.42734661,Petropoulos2016,6.0,B,K08,0,932,0,548,0,0,0,1,13396,890,0,0,0,504,0,19,0,0,1091,20,0,0,0,884,106,1421,179,94,0,0,0,141,1916,0,1,125,1052,1798,0,86,0,381,19,0,1986,1254,123,740,47,0,796,0,277,10,64,0,32,616,0,154,586,0,609,5,304,1105,0,1,0,513,1049,854,781,4,0,165,22,0,19,10,0,5,51,311,11,893,831,20,1310,0,106,161,0,81,0,181,0,0,0,0,0,61,61,863,0,3052,0,0,987,0,278,778,0,614,0,51,84,6,0,0,0,0,779,0,0,0,0,2807
E6.12.1271,E6.12,late_TE,52.9804904,Petropoulos2016,6.0,B,K08,0,319,0,10,0,0,0,351,5012,81,18,0,0,64,1,5,0,0,264,1,0,0,0,18,0,77,47,43,0,0,0,62,0,16,9,15,170,186,0,5,19,98,8,0,109,16,34,93,1,0,110,0,14,8,29,35,10,95,0,110,20,0,100,0,8,163,0,0,0,40,87,63,190,2,0,51,41,8,11,8,0,126,2,20,13,21,110,12,293,0,15,0,0,0,0,29,0,4,0,0,0,0,26,36,0,226,0,0,42,0,24,43,0,84,0,32,63,52,0,0,0,0,130,0,0,0,0,486
E6.12.1277,E6.12,late_TE,52.97818168,Petropoulos2016,6.0,B,K08,0,1636,0,152,0,0,3,1360,31220,371,102,5,1,540,15,59,0,0,1310,10,0,15,0,197,11,321,117,293,0,0,0,305,0,110,15,151,890,513,9,218,148,973,11,0,644,41,182,360,0,32,795,0,102,1,156,26,127,645,0,785,184,0,811,0,63,722,0,0,0,316,268,753,1031,6,0,304,328,18,142,1,0,1340,19,150,21,250,667,34,2047,25,199,0,0,8,6,239,0,101,2,0,0,30,142,150,0,1574,9,0,470,0,87,535,0,487,0,242,210,142,0,0,0,13,769,0,11,0,0,3188
E6.12.1278,E6.12,late_TE,50.62373062,Petropoulos2016,6.0,B,K08,0,174,0,8,0,0,0,182,3688,21,2,0,7,101,0,1,0,1,189,1,0,0,0,18,2,56,21,29,0,0,0,73,0,31,12,12,130,47,0,75,7,150,3,0,91,2,34,51,0,0,104,0,8,4,7,50,8,55,0,98,3,0,74,0,4,169,0,0,0,47,45,77,112,3,0,63,30,2,18,4,0,202,0,11,3,34,126,4,215,0,28,0,0,0,2,8,0,7,1,0,0,3,20,30,0,167,0,0,72,0,25,69,0,49,0,16,62,31,0,0,0,0,72,0,0,0,0,385
E6.12.1280,E6.12,late_TE,53.56004083,Petropoulos2016,6.0,B,K08,0,418,0,75,0,0,9,253,7293,35,8,0,21,77,8,10,0,13,154,2,0,6,0,34,4,59,217,61,0,0,0,56,0,29,0,23,308,108,0,12,0,186,8,0,129,8,33,308,6,2,218,0,9,5,5,230,0,176,0,108,29,0,167,0,13,116,0,0,0,55,87,76,127,0,0,22,39,23,43,5,0,33,3,5,0,64,206,2,522,0,11,0,0,1,1,32,0,5,0,0,0,4,17,18,0,467,0,0,94,26,25,82,0,155,0,9,109,50,0,0,0,0,143,0,0,0,0,215
E6.12.1482,E6.12,late_TE,38.94936065,Petropoulos2016,6.0,B,K08,0,1539,0,193,0,2,5,1404,29490,136,47,1,2,394,50,16,0,0,1340,5,0,19,0,143,12,200,331,298,0,0,0,227,0,153,67,109,759,480,8,110,85,719,18,0,481,21,174,530,25,16,987,1,71,15,151,173,53,467,0,735,207,0,540,0,80,519,0,0,0,246,215,414,710,2,0,195,171,59,224,15,0,734,10,198,35,223,707,26,1619,0,178,0,0,6,28,161,0,45,12,0,0,9,188,116,0,1157,8,0,391,0,179,356,1,351,0,179,215,154,0,0,0,0,710,0,0,0,0,2469
E6.12.1483,E6.12,late_TE,52.98614989,Petropoulos2016,6.0,B,K08,0,1160,0,77,0,0,8,943,18158,61,66,0,11,233,31,14,0,0,710,6,0,17,0,65,4,183,58,110,0,12,2,246,0,31,50,42,592,173,0,57,122,706,8,0,234,35,122,288,0,6,609,0,81,4,58,55,78,282,0,337,54,0,435,0,56,403,0,13,0,241,82,367,419,6,0,159,152,80,91,4,0,502,2,120,13,198,520,14,926,0,127,0,0,3,50,63,0,37,22,0,0,24,71,129,0,812,0,0,202,0,108,176,0,273,0,44,125,105,0,0,0,0,410,0,10,0,0,1457
E6.12.1484,E6.12,late_TE,53.26812193,Petropoulos2016,6.0,B,K08,0,1953,0,82,0,0,0,1330,24296,130,74,10,0,401,78,5,0,0,962,6,0,29,0,182,4,245,424,287,0,0,0,118,0,117,100,122,670,369,0,61,90,702,12,0,539,10,424,308,30,89,1082,0,70,0,140,399,115,256,0,167,23,0,488,0,53,488,0,0,0,266,122,436,729,0,0,139,66,78,153,0,0,729,0,121,76,196,800,6,1893,0,141,0,0,2,112,127,0,18,0,0,0,5,194,65,0,1120,0,0,368,27,140,253,0,679,0,110,433,143,0,0,0,0,603,0,0,0,0,1702
E6.12.1486,E6.12,late_TE,50.19749073,Petropoulos2016,6.0,B,K08,0,1614,0,62,0,0,11,2058,29120,96,111,0,23,441,38,55,0,0,1412,5,0,14,0,131,0,285,97,183,0,0,0,328,0,45,63,256,928,265,0,113,95,964,43,0,721,34,195,336,0,18,762,0,89,59,113,655,205,343,0,577,101,0,533,0,75,409,0,0,0,283,133,479,1019,8,0,292,130,137,55,59,0,1001,7,99,20,513,947,20,1863,0,279,0,1,0,76,159,0,77,51,0,0,34,157,104,0,1544,0,0,259,0,143,298,0,313,0,213,249,145,0,0,0,13,603,0,0,0,0,2359
E6.12.1487,E6.12,late_TE,50.59299054,Petropoulos2016,6.0,B,K08,0,2155,0,102,0,0,0,1031,29505,139,79,25,0,392,8,6,0,0,924,13,0,1,0,59,0,206,86,364,0,0,0,275,1,108,33,133,1040,401,18,136,52,862,55,0,527,54,135,424,24,0,532,0,35,0,128,44,142,253,0,436,132,0,592,0,49,431,0,0,0,261,183,387,595,2,0,101,91,26,163,0,0,757,7,21,46,236,634,16,1486,0,300,0,0,0,4,118,0,143,0,0,0,9,42,146,0,1423,18,0,419,5,44,322,0,237,0,90,273,164,0,0,0,0,673,0,0,0,0,2863
E6.13.1377,E6.13,late_TE,52.83499805,Petropoulos2016,6.0,B,K09,0,336,0,18,0,0,0,273,9284,48,8,0,11,224,8,40,0,0,511,4,0,0,0,41,0,107,352,32,0,0,0,47,0,9,36,89,331,279,0,72,57,263,2,0,123,0,115,267,0,0,229,0,42,9,36,0,11,175,0,188,20,0,76,11,43,349,0,0,0,150,131,104,192,2,0,89,56,29,26,9,0,61,11,33,15,82,162,45,560,0,40,0,0,0,5,143,0,11,4,0,0,8,30,153,0,518,0,0,70,7,32,86,0,28,0,43,72,83,0,0,0,8,93,0,0,0,0,478
E6.13.1379,E6.13,late_TE,52.71971056,Petropoulos2016,6.0,B,K09,0,352,0,10,0,0,0,203,7623,24,1,1,5,66,7,7,0,0,348,2,0,15,0,0,0,88,29,90,0,0,0,73,0,11,3,11,155,108,2,19,17,166,4,0,103,0,40,62,0,0,145,7,19,0,11,18,40,69,0,133,4,0,142,0,17,181,0,0,0,37,63,172,231,1,0,75,51,28,37,0,0,156,5,42,14,83,149,10,240,0,56,0,0,0,3,32,0,8,5,0,0,7,40,20,0,256,2,0,118,0,27,65,0,48,0,37,44,11,0,0,0,0,140,0,1,0,0,597
E6.13.1380,E6.13,late_TE,52.95090278,Petropoulos2016,6.0,B,K09,0,413,0,14,0,10,2,261,15102,36,16,0,2,160,7,3,0,0,571,1,0,36,0,36,0,123,68,52,0,0,0,69,0,25,8,27,357,187,0,41,62,386,3,0,205,39,58,105,0,0,331,14,84,0,62,0,44,169,0,224,34,0,190,0,22,366,0,0,0,61,51,182,250,3,0,71,116,9,57,0,0,183,1,50,32,95,314,22,672,13,50,0,0,1,4,103,0,28,4,0,0,5,38,66,0,580,0,0,78,0,75,148,0,101,0,80,45,50,0,0,0,0,171,0,0,0,0,662
E6.13.1383,E6.13,late_TE,52.87350731,Petropoulos2016,6.0,B,K09,0,264,0,19,0,0,1,317,6837,14,35,0,9,72,7,6,0,4,302,1,0,28,0,4,1,55,53,25,0,0,0,7,0,33,0,17,312,104,15,78,32,185,9,0,168,0,96,103,0,46,62,0,0,0,5,0,23,54,0,79,11,0,51,0,26,219,0,0,0,23,132,47,333,5,0,45,11,16,42,0,0,111,0,22,1,4,197,8,203,0,12,0,0,0,2,7,0,11,12,0,0,27,23,138,0,311,15,0,84,0,20,80,0,83,5,39,1,1,0,0,0,0,76,0,0,0,0,674
E6.13.1384,E6.13,late_TE,53.67725008,Petropoulos2016,6.0,B,K09,0,412,0,39,2,0,0,223,7687,36,1,0,0,114,0,14,0,0,285,1,0,3,0,17,0,63,109,63,0,0,0,61,0,57,6,30,276,129,12,31,7,141,8,0,169,17,33,74,6,0,227,0,21,5,40,12,32,101,0,142,25,0,100,0,14,217,0,8,0,82,90,89,208,0,0,48,61,14,14,5,0,74,9,56,14,111,130,9,406,0,66,0,0,0,1,40,0,17,1,0,0,0,23,73,0,454,12,0,125,0,42,61,0,79,0,23,76,39,0,0,0,0,134,0,0,0,0,363
E6.13.1386,E6.13,late_TE,53.21824487,Petropoulos2016,6.0,B,K09,0,2012,0,46,39,0,2,2669,49300,107,1,0,51,1836,16,41,0,1,2794,17,16,56,0,166,5,666,552,265,0,0,0,367,9,20,31,256,1741,746,23,262,213,1038,60,0,773,174,439,609,49,1,1084,0,288,0,84,88,271,731,0,890,111,0,393,6,149,1962,0,0,0,571,830,688,1165,40,0,241,346,105,215,0,0,614,15,437,21,707,1306,105,1607,0,184,0,0,0,65,256,0,42,0,0,0,91,308,469,0,2940,23,0,537,0,138,780,0,478,0,225,651,432,0,0,0,0,1022,0,0,0,0,2608
E6.13.1387,E6.13,late_TE,53.10893016,Petropoulos2016,6.0,B,K09,0,836,1,27,0,0,0,816,36894,112,1,0,60,794,0,12,0,29,1381,12,0,0,0,49,0,383,309,472,0,0,0,327,0,76,15,222,1573,513,5,173,40,788,38,0,712,0,318,722,31,0,735,0,144,0,203,88,88,590,0,625,78,0,444,0,139,993,0,0,0,332,152,626,491,8,0,202,233,58,168,0,0,326,13,317,34,96,875,61,1653,0,201,0,0,0,12,415,0,55,13,0,0,13,199,111,0,1732,5,0,413,0,40,438,0,276,0,142,237,107,0,0,0,0,528,0,0,0,0,2063
E6.13.1388,E6.13,late_TE,53.40481942,Petropoulos2016,6.0,B,K09,0,1485,0,78,47,10,0,1395,31470,97,34,9,24,679,0,40,0,7,1673,9,0,0,0,39,25,404,435,249,0,0,0,187,0,91,68,153,1277,306,24,102,18,548,0,0,780,34,143,708,0,0,966,3,43,0,101,109,164,343,0,403,58,0,363,0,90,917,0,0,0,221,446,533,658,1,0,242,247,120,100,0,0,387,0,304,50,303,678,47,1625,0,135,0,0,11,0,216,0,40,3,0,0,0,93,433,0,1808,24,0,350,26,153,256,0,233,0,219,292,118,0,0,0,0,634,0,23,0,0,1688
E6.13.1390,E6.13,late_TE,52.73599246,Petropoulos2016,6.0,B,K09,0,278,0,11,0,0,0,75,3529,12,0,0,13,45,4,6,0,0,298,1,0,1,0,0,0,51,13,86,0,0,0,43,0,20,19,4,119,27,0,17,0,158,5,0,106,1,9,56,0,0,32,1,14,0,0,14,37,54,0,38,10,0,20,0,10,222,0,0,1,39,97,93,72,1,0,28,52,44,35,0,0,82,6,17,1,100,92,5,186,0,9,0,0,0,0,36,0,1,0,0,0,0,0,1,0,189,0,0,12,0,11,10,0,47,0,10,52,70,0,0,0,0,82,0,9,0,0,307
E6.13.1391,E6.13,late_TE,53.00227196,Petropoulos2016,6.0,B,K09,0,1409,0,58,0,0,8,1095,24123,112,2,1,86,875,0,47,0,0,1434,14,0,47,0,103,0,450,93,330,0,42,26,328,24,95,21,54,872,270,0,222,37,720,1,0,778,17,107,1077,0,0,473,33,112,11,20,11,74,405,0,487,45,0,403,21,75,771,0,0,0,162,329,428,805,12,0,335,400,146,13,11,0,650,0,118,72,315,509,37,1294,0,39,0,0,12,21,203,0,66,0,0,0,10,24,145,0,950,0,0,554,0,46,138,0,165,0,162,224,175,0,0,0,0,378,0,0,0,0,1864
E6.13.1392,E6.13,late_TE,49.45035619,Petropoulos2016,6.0,B,K09,0,752,0,0,2,0,0,444,13040,8,43,0,0,189,2,0,0,0,354,8,0,7,0,37,0,122,31,70,0,0,0,100,0,64,18,8,347,229,2,32,71,359,7,0,201,0,80,302,0,0,423,38,14,2,22,87,30,170,0,229,15,0,155,0,27,257,0,0,0,60,49,191,321,0,0,91,91,23,82,2,0,179,0,27,2,206,321,21,884,0,78,0,0,0,13,120,0,6,0,0,0,0,19,65,0,759,2,0,31,0,18,90,0,42,0,55,32,96,0,0,0,0,92,0,0,0,0,654
E6.13.1393,E6.13,late_TE,53.21027875,Petropoulos2016,6.0,B,K09,0,1267,0,34,1,0,0,773,24094,49,50,0,25,476,8,72,0,0,624,8,0,43,0,51,0,203,132,120,0,0,0,147,1,57,28,97,814,238,12,79,58,597,5,0,275,47,181,404,16,9,597,8,47,15,107,0,74,419,2,258,15,0,308,0,44,568,0,0,0,117,237,337,281,12,0,47,124,44,64,15,0,218,1,77,14,236,436,31,1213,0,45,0,0,0,6,166,0,14,0,0,0,10,62,178,0,1102,12,0,230,10,51,165,0,314,0,99,124,158,0,0,0,0,420,0,1,0,0,846
E6.13.1394,E6.13,late_TE,52.78788084,Petropoulos2016,6.0,B,K09,0,776,0,8,0,0,0,1732,18906,58,6,0,23,243,13,11,0,0,1139,8,0,1,0,127,0,206,591,235,0,0,0,127,0,21,36,90,488,432,88,174,65,400,4,0,316,6,83,341,0,0,425,0,83,0,39,0,148,429,0,453,24,0,335,0,100,429,0,0,0,237,458,294,486,24,0,108,152,52,200,0,0,317,0,48,4,357,592,41,1127,0,29,0,0,0,0,171,0,25,0,0,0,45,109,176,0,734,88,1,107,1,93,493,0,365,0,171,248,233,0,0,0,0,453,0,46,0,0,919
E6.13.1395,E6.13,late_TE,52.82270848,Petropoulos2016,6.0,B,K09,0,590,0,62,0,0,0,110,12732,26,11,0,20,218,3,0,0,0,725,4,0,0,0,17,0,274,255,65,0,0,0,44,0,113,0,53,733,155,0,162,34,283,0,0,323,19,171,254,0,0,581,0,0,0,33,0,88,138,0,242,49,0,79,0,18,289,0,0,0,188,496,281,256,5,0,0,91,46,164,0,0,48,7,159,38,176,143,23,731,0,0,0,0,0,7,97,0,19,1,0,0,5,127,303,0,845,0,0,72,0,43,127,0,194,0,94,115,103,0,0,0,0,120,0,0,0,0,1029
E6.13.1396,E6.13,late_TE,51.03482733,Petropoulos2016,6.0,B,K09,0,879,0,19,0,0,0,306,15521,57,47,0,16,236,0,31,0,1,869,5,0,7,0,20,0,167,10,132,0,0,0,103,0,71,48,210,464,228,0,218,126,377,43,0,242,10,166,260,10,0,400,0,54,27,6,0,110,293,0,410,42,0,105,6,35,681,0,0,0,54,84,306,319,24,0,110,154,146,113,27,0,337,0,164,12,149,589,17,796,0,93,0,0,3,57,70,0,20,0,0,0,0,20,34,0,762,0,0,158,0,64,207,0,205,0,94,224,140,0,0,0,0,401,0,0,0,0,1457
E6.13.1397,E6.13,late_TE,53.31037589,Petropoulos2016,6.0,B,K09,0,1597,0,53,20,1,3,560,26890,100,36,18,13,380,48,30,0,4,1013,9,0,32,0,95,0,194,180,201,0,4,0,163,43,38,28,39,600,352,0,48,58,540,13,0,494,9,55,429,0,0,501,21,22,0,96,45,61,241,0,365,49,0,435,0,43,367,8,0,0,107,182,267,586,11,0,165,227,51,37,0,0,525,13,133,77,266,354,19,1356,0,104,0,0,0,16,172,0,41,16,0,8,2,56,219,0,1086,0,0,226,0,53,174,0,159,0,104,128,180,0,0,0,0,398,0,11,0,0,1196
E6.13.1398,E6.13,late_TE,53.2660784,Petropoulos2016,6.0,B,K09,0,1255,0,86,0,0,0,633,31168,91,42,3,0,658,0,57,0,0,939,8,0,29,0,54,0,199,146,388,0,0,0,269,0,44,0,54,723,451,0,202,59,913,33,0,461,3,385,567,15,21,732,0,94,7,29,21,79,356,7,464,59,0,178,0,45,737,0,0,0,255,224,371,288,16,0,127,202,35,72,7,0,359,0,246,24,276,671,58,1452,0,135,0,0,0,9,241,0,2,5,0,0,1,65,239,0,1462,0,0,415,1,62,194,0,352,0,142,429,158,0,0,6,0,454,0,6,0,0,1062
E6.13.1399,E6.13,late_TE,53.41143622,Petropoulos2016,6.0,B,K09,0,980,0,8,0,0,1,247,25117,43,84,0,15,653,31,66,0,0,708,3,0,0,0,70,0,180,450,158,0,0,0,162,1,76,98,97,860,533,9,27,54,576,19,48,234,20,261,443,0,0,464,19,171,0,16,8,135,232,0,332,137,0,300,3,80,897,0,0,0,88,363,352,567,13,0,83,210,53,88,0,3,123,5,246,9,198,421,66,1624,0,63,0,0,3,0,238,0,12,1,0,0,11,86,96,0,1561,9,0,124,41,160,229,0,288,0,107,174,87,0,0,0,0,449,0,0,0,0,985
